"station_id","station_name","lon","lat","city","city_sn","town","town_sn"
"C0A520","山佳","121.393789","24.976719","新北市","06","樹林區","046"
"C0A560","福山","121.494583","24.778333","新北市","06","烏來區","061"
"C0R620","墾雷","120.847244","21.90265","屏東縣","20","恆春鎮","350"
"C0AC60","三峽","121.3615","24.940806","新北市","06","三峽區","057"
"C0X190","安平","120.144111","22.994972","臺南市","04","安平區","276"
"C0K390","土庫","120.387436","23.680772","雲林縣","16","土庫鎮","189"
"C0A880","福隆","121.934167","25.019167","新北市","06","貢寮區","027"
"C0UA70","桃源谷","121.880658","24.964408","宜蘭縣","07","頭城鎮","051"
"C0I530","小奇萊","121.287556","24.13355","南投縣","13","仁愛鄉","122"
"C0C660","楊梅","121.134833","24.914139","桃園市","08","楊梅區","056"
"C0G740","大城","120.312789","23.854225","彰化縣","14","大城鄉","169"
"C0M670","大林","120.450281","23.602361","嘉義縣","17","大林鎮","202"
"C0T9M0","靜浦","121.486667","23.456944","花蓮縣","21","豐濱鄉","188"
"C0X130","官田","120.307528","23.195028","臺南市","04","官田區","248"
"C0Z061","玉里","121.331556","23.323306","花蓮縣","21","玉里鎮","221"
"C0F9N0","大里","120.692194","24.094389","臺中市","02","大里區","141"
"C0M730","嘉義市東區","120.452408","23.459414","嘉義市","09","東區","217"
"C0M740","六腳","120.2825","23.494611","嘉義縣","17","六腳鄉","214"
"C0F9M0","豐原","120.712333","24.256306","臺中市","02","豐原區","117"
"C0U750","龜山島","121.944947","24.843392","宜蘭縣","07","頭城鎮","051"
"C0F9T0","西屯","120.632861","24.182028","臺中市","02","西屯區","125"
"C0M530","奮起湖","120.691111","23.495833","嘉義縣","17","竹崎鄉","215"
"C0K400","斗六","120.532972","23.722303","雲林縣","16","斗六市","355"
"C0T9A0","月眉山","121.531686","23.811736","花蓮縣","21","壽豐鄉","161"
"C0K460","斗南","120.470231","23.680478","雲林縣","16","斗南鎮","193"
"C0S710","鹿野","121.114908","22.919517","臺東縣","22","鹿野鄉","274"
"C0I370","魚池","120.933219","23.897478","南投縣","13","魚池鄉","164"
"C0V400","阿公店","120.347444","22.805944","高雄市","05","燕巢區","296"
"C0S750","向陽","120.978056","23.25","臺東縣","22","海端鄉","240"
"C0M680","太保","120.323303","23.456792","嘉義縣","17","太保市","218"
"C0R650","竹田","120.535392","22.586642","屏東縣","20","竹田鄉","322"
"C0X100","臺南市北區","120.186333","23.012167","臺南市","04","北區","357"
"C0E740","造橋","120.856583","24.63875","苗栗縣","11","造橋鄉","090"
"C0X220","學甲","120.174072","23.2321","臺南市","04","學甲區","239"
"C0E550","明德","120.877222","24.58525","苗栗縣","11","頭屋鄉","094"
"C0UA40","西德山","121.744417","24.562447","宜蘭縣","07","南澳鄉","093"
"C0R560","新園","120.4535","22.545194","屏東縣","20","新園鄉","333"
"C0X060","下營","120.248153","23.228686","臺南市","04","下營區","242"
"C0K560","棋山","120.595289","23.688211","雲林縣","16","古坑鄉","196"
"C0R510","萬丹","120.482389","22.589611","屏東縣","20","萬丹鄉","327"
"C0F9P0","清水","120.554083","24.314028","臺中市","02","清水區","112"
"C0AH40","平等","121.568856","25.130925","臺北市","01","士林區","007"
"C0R150","三地門","120.631889","22.711667","屏東縣","20","內埔鄉","310"
"C0O970","虎頭埤","120.339806","23.023139","臺南市","04","新化區","267"
"C0G720","溪州","120.490944","23.853347","彰化縣","14","溪州鄉","174"
"C0F0B0","石岡","120.769478","24.277822","臺中市","02","石岡區","116"
"C0S690","太麻里","120.977275","22.610825","臺東縣","22","太麻里鄉","312"
"C0R170","屏東","120.483611","22.661944","屏東縣","20","屏東市","309"
"C0G890","伸港","120.476167","24.150528","彰化縣","14","伸港鄉","126"
"C0U870","大礁溪","121.666839","24.792836","宜蘭縣","07","礁溪鄉","065"
"C0X280","將軍","120.127656","23.216733","臺南市","04","將軍區","245"
